run,province,cluster_id,r2,mae,mse,included_in_headline
4,14 María Trinidad Sánchez,2,0.26567918062210083,0.03671702370047569,0.0034246202558279037,True
4,08 El Seibo,2,0.19294893741607666,0.0205234345048666,0.0015202803770080209,True
4,26 Santiago Rodríguez,1,0.1891736388206482,0.07396833598613739,0.016502846032381058,True
4,17 Peravia,3,0.1522628664970398,0.022774284705519676,0.0011084720026701689,True
4,20 Samaná,2,0.13135206699371338,0.03654932603240013,0.003409517463296652,True
4,15 Monte Cristi,2,0.05900120735168457,0.07200418412685394,0.01470113918185234,False
4,02 Azua,3,-0.2580207586288452,0.025635814294219017,0.001301218755543232,True
5,24 Sánchez Ramírez,0,0.7030344605445862,0.053632188588380814,0.008455981500446796,True
5,09 Espaillat,2,0.682607889175415,0.023725204169750214,0.0015739465598016977,True
5,12 La Romana,2,0.6793013215065002,0.02661619894206524,0.004336903803050518,True
5,28 Monseñor Nouel,0,0.6489545106887817,0.03502162545919418,0.003363250056281686,True
5,06 Duarte,0,0.6401420831680298,0.019383423030376434,0.0010258370311930776,True
5,30 Hato Mayor,2,0.6311994791030884,0.04739999398589134,0.006105056963860989,True
5,13 La Vega,0,0.6215518712997437,0.02043740265071392,0.0014531261986121535,True
5,32 Santo Domingo,4,0.5918461084365845,0.015942635014653206,0.0025039331521838903,True
5,01 Distrito Nacional,4,0.5863128900527954,0.01610303483903408,0.0016904536169022322,True
5,25 Santiago,4,0.5790666341781616,0.02097906358540058,0.0014676754362881184,True
5,23 San Pedro de Macorís,2,0.5398297309875488,0.015901437029242516,0.0009320156532339752,True
5,22 San Juan,0,0.5278430581092834,0.031139658764004707,0.002643947722390294,True
5,21 San Cristóbal,4,0.4773836135864258,0.017141178250312805,0.0013039079494774342,True
5,04 Barahona,2,0.47730201482772827,0.04022519290447235,0.0056939939968287945,True
5,29 Monte Plata,0,0.4630553722381592,0.02780754119157791,0.001975015737116337,True
5,27 Valverde,1,0.45119595527648926,0.024812668561935425,0.0022980838548392057,True
5,10 Independencia,1,0.4487432837486267,0.06912356615066528,0.012039768509566784,False
5,11 La Altagracia,2,0.4415104389190674,0.017612578347325325,0.0010169587330892682,True
5,18 Puerto Plata,2,0.42314988374710083,0.02337535098195076,0.0019383142935112119,True
5,19 Hermanas Mirabal,0,0.4089435338973999,0.047052450478076935,0.0067641944624483585,True
5,31 San José de Ocoa,3,0.36436212062835693,0.11121045798063278,0.026376014575362206,True
5,14 María Trinidad Sánchez,2,0.21151506900787354,0.03654459863901138,0.00367722287774086,True
5,15 Monte Cristi,2,0.19837915897369385,0.06966891884803772,0.0125236501917243,False
5,26 Santiago Rodríguez,1,0.17953282594680786,0.07396464794874191,0.016699068248271942,True
5,08 El Seibo,2,0.17683953046798706,0.020765395835042,0.0015506264753639698,True
5,17 Peravia,3,0.1647031307220459,0.02259868197143078,0.001092205522581935,True
5,20 Samaná,2,0.1214134693145752,0.03655776381492615,0.003448527306318283,True
5,02 Azua,3,-0.23444223403930664,0.02549160271883011,0.0012768306769430637,True
