split,year,week,y_true,y_hat,n_provinces,time_value
fit_2015_2019,2018,7,0.0056077655338283095,0.0020855430588458796,28,2018.1153846153845
fit_2015_2019,2018,8,0.005082176765426993,0.003186726137105974,28,2018.1346153846155
fit_2015_2019,2018,9,0.009528962828751122,0.0035062622932855447,28,2018.1538461538462
fit_2015_2019,2018,10,0.015204588350440775,0.007731351458850051,28,2018.173076923077
fit_2015_2019,2018,11,0.003772465778248651,0.012665262833901838,28,2018.1923076923076
fit_2015_2019,2018,12,0.006061837426386774,0.002938619875099643,28,2018.2115384615386
fit_2015_2019,2018,13,0.004769893421325833,0.004946103540532931,28,2018.2307692307693
fit_2015_2019,2018,14,0.0056536889044634464,0.003386026167260882,28,2018.25
fit_2015_2019,2018,15,0.007867212569440849,0.0045865959273214685,28,2018.2692307692307
fit_2015_2019,2018,16,0.0038306025463888155,0.0067272761009787374,28,2018.2884615384614
fit_2015_2019,2018,17,0.0042471155258161685,0.003727447159950056,28,2018.3076923076924
fit_2015_2019,2018,18,0.006756553937780804,0.005009495022282603,28,2018.326923076923
fit_2015_2019,2018,19,0.003062371239398739,0.0064172896688562886,28,2018.3461538461538
fit_2015_2019,2018,20,0.0042572029300832325,0.0035466207534357507,28,2018.3653846153845
fit_2015_2019,2018,21,0.003984976455935144,0.005072917510135865,28,2018.3846153846155
fit_2015_2019,2018,22,0.0023613741089190754,0.004986669644105339,28,2018.4038461538462
fit_2015_2019,2018,23,0.005236099199724517,0.003341874877670697,28,2018.423076923077
fit_2015_2019,2018,24,0.004034476837010256,0.005697956858317151,28,2018.4423076923076
fit_2015_2019,2018,25,0.0038123172333663596,0.005017768136375318,28,2018.4615384615386
fit_2015_2019,2018,26,0.0021397109625728,0.004344939652193196,28,2018.4807692307693
fit_2015_2019,2018,27,0.007002269840865795,0.004604301014166724,28,2018.5
fit_2015_2019,2018,28,0.005598321931237089,0.008855647101881914,28,2018.5192307692307
fit_2015_2019,2018,29,0.0030255976058210115,0.007460027014271223,28,2018.5384615384614
fit_2015_2019,2018,30,0.003571587271705669,0.004448806292202789,28,2018.5576923076924
fit_2015_2019,2018,31,0.008077249363330858,0.004289215096962705,28,2018.576923076923
fit_2015_2019,2018,32,0.005381297153819885,0.00895605685114528,28,2018.5961538461538
fit_2015_2019,2018,33,0.007586273871960917,0.006098736883619235,28,2018.6153846153845
fit_2015_2019,2018,34,0.004554038372589275,0.008212365194464968,28,2018.6346153846155
fit_2015_2019,2018,35,0.005188038223423064,0.0068515311145997005,28,2018.6538461538462
fit_2015_2019,2018,36,0.003665204529949863,0.006895376382869601,28,2018.673076923077
fit_2015_2019,2018,37,0.006160005145440144,0.006960765011172043,28,2018.6923076923076
fit_2015_2019,2018,38,0.006052825807793332,0.008950822266504994,28,2018.7115384615386
fit_2015_2019,2018,39,0.004232032515574247,0.00959238435305971,28,2018.7307692307693
fit_2015_2019,2018,40,0.010101878583165151,0.008760313524232646,28,2018.75
fit_2015_2019,2018,41,0.007461762405000627,0.0122637158721253,28,2018.7692307692307
fit_2015_2019,2018,42,0.010493598312937788,0.010525690387502047,28,2018.7884615384614
fit_2015_2019,2018,43,0.008226660022046417,0.012700062044521994,28,2018.8076923076924
fit_2015_2019,2018,44,0.00857506416338895,0.011236010761682078,28,2018.826923076923
fit_2015_2019,2018,45,0.01059663763070213,0.011245465128013166,28,2018.8461538461538
fit_2015_2019,2018,46,0.018399860734851763,0.013270555705405838,28,2018.8653846153845
fit_2015_2019,2018,47,0.02284073774353601,0.01905199877884505,28,2018.8846153846155
fit_2015_2019,2018,48,0.019485359811889275,0.02365014595021161,28,2018.9038461538462
fit_2015_2019,2018,49,0.012143341558320182,0.02105423732538319,28,2018.923076923077
fit_2015_2019,2018,50,0.010156765197669821,0.01427723080269061,28,2018.9423076923076
fit_2015_2019,2018,51,0.011713564437481441,0.01210220802853915,28,2018.9615384615386
fit_2015_2019,2018,52,0.008410201358076717,0.013831328488387433,28,2018.9807692307693
fit_2015_2019,2019,1,0.01555475579308612,0.011452435881177994,28,2019.0
fit_2015_2019,2019,2,0.018281126295083334,0.017179148480993587,28,2019.0192307692307
fit_2015_2019,2019,3,0.014705030214307564,0.017979977818738137,28,2019.0384615384614
fit_2015_2019,2019,4,0.02069018307208483,0.014431964917353721,28,2019.0576923076924
fit_2015_2019,2019,5,0.021202118435342397,0.01943252618574271,28,2019.076923076923
fit_2015_2019,2019,6,0.016323424310290387,0.018756172346391913,28,2019.0961538461538
fit_2015_2019,2019,7,0.021348225717831935,0.01640437959576957,28,2019.1153846153845
fit_2015_2019,2019,8,0.02598209401393043,0.0214616506792871,28,2019.1346153846155
fit_2015_2019,2019,9,0.020758702170236835,0.02616353714880201,28,2019.1538461538462
fit_2015_2019,2019,10,0.026713259551408037,0.02342274252857481,28,2019.173076923077
fit_2015_2019,2019,11,0.033334033364163976,0.027627416869758496,28,2019.1923076923076
fit_2015_2019,2019,12,0.038870144535654357,0.03289869359494852,28,2019.2115384615386
fit_2015_2019,2019,13,0.0377124150815819,0.037643588530564945,28,2019.2307692307693
fit_2015_2019,2019,14,0.036160246518972726,0.03697239126112046,28,2019.25
fit_2015_2019,2019,15,0.0382535776921681,0.03400535643283677,28,2019.2692307692307
fit_2015_2019,2019,16,0.029457250210855688,0.03699572972150885,28,2019.2884615384614
fit_2015_2019,2019,17,0.023952502025557414,0.031756110077757124,28,2019.3076923076924
fit_2015_2019,2019,18,0.043609844512372674,0.026373826566019228,28,2019.326923076923
fit_2015_2019,2019,19,0.043650616658851504,0.04055710060388914,28,2019.3461538461538
fit_2015_2019,2019,20,0.04965395666658878,0.043320801009290984,28,2019.3653846153845
fit_2015_2019,2019,21,0.040956111890929084,0.051145802634502094,28,2019.3846153846155
fit_2015_2019,2019,22,0.0478290484752506,0.04230104941338401,28,2019.4038461538462
fit_2015_2019,2019,23,0.050148356007412076,0.04850102998066826,28,2019.423076923077
fit_2015_2019,2019,24,0.06127368362753519,0.05073225501525615,28,2019.4423076923076
fit_2015_2019,2019,25,0.08994661943454828,0.06453166478812429,28,2019.4615384615386
fit_2015_2019,2019,26,0.07770658743434719,0.08697743705124594,28,2019.4807692307693
fit_2015_2019,2019,27,0.12132675466792923,0.0818904581496359,28,2019.5
fit_2015_2019,2019,28,0.15355652647225984,0.11983468573141311,28,2019.5192307692307
fit_2015_2019,2019,29,0.1563721356381263,0.14809903662119592,28,2019.5384615384614
fit_2015_2019,2019,30,0.17504241354098277,0.15719200032097952,28,2019.5576923076924
fit_2015_2019,2019,31,0.17138858951096023,0.17479473132906215,28,2019.576923076923
fit_2015_2019,2019,32,0.15232638798521034,0.16970926070851938,28,2019.5961538461538
fit_2015_2019,2019,33,0.15225921903869935,0.1582337461544999,28,2019.6153846153845
fit_2015_2019,2019,34,0.17259872172560012,0.15603704684014832,28,2019.6346153846155
fit_2015_2019,2019,35,0.15486009724970376,0.1689420406307493,28,2019.6538461538462
fit_2015_2019,2019,36,0.14889447723648377,0.1506478682692562,28,2019.673076923077
fit_2015_2019,2019,37,0.15249210875481367,0.1479606147456382,28,2019.6923076923076
fit_2015_2019,2019,38,0.1422764005006424,0.15130096308088728,28,2019.7115384615386
fit_2015_2019,2019,39,0.11955664280269827,0.13600741207067454,28,2019.7307692307693
fit_2015_2019,2019,40,0.12285837517785174,0.11847039478431855,28,2019.75
fit_2015_2019,2019,41,0.10643702988246721,0.11728583382708686,28,2019.7692307692307
fit_2015_2019,2019,42,0.10486219943101917,0.10130278051032551,28,2019.7884615384614
fit_2015_2019,2019,43,0.11321909632533789,0.10275458421009327,28,2019.8076923076924
fit_2015_2019,2019,44,0.08700412345517959,0.10852182889357209,28,2019.826923076923
fit_2015_2019,2019,45,0.10446222618754421,0.08679920049118144,28,2019.8461538461538
